Model,scenario,region,riverBasin,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
GCAM,CORN1BG,Africa_Eastern,Madagascar,LandUse|Crops|PalmFruit,Mha,0.001810092,0.001822,0.001944915,0.002050282,0.00215606,0.00229175,0.00240908,0.00252209,0.00262204,0.00280732,0.00298392
GCAM,CORN1BG,Africa_Eastern,Madagascar,LandUse|Crops|Rice,Mha,1.63266454,0.92613158,0.9886899,1.02838814,1.058985801,1.072900433,1.079826736,1.08231916,1.08214353,1.123671637,1.159095353
GCAM,CORN1BG,Africa_Eastern,Madagascar,LandUse|Crops|Soybean,Mha,8.13E-05,7.19E-05,5.43E-05,5.33E-05,5.36E-05,4.85E-05,4.46E-05,4.17E-05,3.92E-05,4.28E-05,4.64E-05
GCAM,CORN1BG,Africa_Eastern,Madagascar,LandUse|Crops|SugarCrops,Mha,0.115069374,0.11501024,0.134375612,0.155544217,0.178578844,0.200378819,0.22228437,0.244420856,0.265835717,0.285915497,0.305065675
GCAM,CORN1BG,Africa_Eastern,Madagascar,LandUse|Crops|Total,Mha,3.469541556,2.70021092,2.79143226,2.918284936,3.055301347,3.261206173,3.43208336,3.588320246,3.741342671,4.005523175,4.257318129
GCAM,CORN1BG,Africa_Eastern,Madagascar,LandUse|Crops|Wheat,Mha,0.004505821,0.00207566,0.002173809,0.002273471,0.002341781,0.002400399,0.002442967,0.002469276,0.002483263,0.002528706,0.00256416
GCAM,CORN1BG,Africa_Eastern,NileR,LandCover|Cropland,Mha,30.70278463,30.53853394,33.19160553,35.860112,38.82804696,41.47051742,43.35423776,45.17777765,46.879713,49.83746959,52.66923977
GCAM,CORN1BG,Africa_Eastern,NileR,LandCover|Forest|Managed,Mha,2.55991,2.26756,2.3918,2.5012,2.59779,2.68923,2.76281,2.82536,2.87508,2.90453,2.91902
GCAM,CORN1BG,Africa_Eastern,NileR,LandCover|Forest|Total,Mha,2.55991,2.26756,2.3918,2.5012,2.59779,2.68923,2.76281,2.82536,2.87508,2.90453,2.91902
GCAM,CORN1BG,Africa_Eastern,NileR,LandCover|Forest|Unmanaged,Mha,0,0,0,0,0,0,0,0,0,0,0
GCAM,CORN1BG,Africa_Eastern,NileR,LandCover|Grassland,Mha,56.539482,48.7880287,48.4984868,48.1888175,47.8179136,47.454185,47.1538726,46.8462203,46.5414459,46.0729567,45.6026622
GCAM,CORN1BG,Africa_Eastern,NileR,LandCover|OtherArable,Mha,9.4528537,18.9708341,18.440804,17.9187351,17.3463429,16.8371137,16.4601956,16.0943593,15.750341,15.2078742,14.695376
